time_fs,S0,S1,S2
1.228791039999999981e+02,0.000000000000000000e+00,7.714446645792275570e-01,2.285558883272430231e-01
1.233628800000000041e+02,0.000000000000000000e+00,7.748436657148299878e-01,2.251568808842714375e-01
1.238466559999999959e+02,0.000000000000000000e+00,7.770112856934198176e-01,2.229892070170053919e-01
1.243304320000000018e+02,0.000000000000000000e+00,7.781226734312375326e-01,2.218778556694969983e-01
1.248142079999999936e+02,0.000000000000000000e+00,7.767674928289965974e-01,2.232331356348244422e-01
1.252979839999999996e+02,0.000000000000000000e+00,7.779752670007082926e-01,2.220253726306983810e-01
1.257817600000000056e+02,0.000000000000000000e+00,7.788962146234417183e-01,2.211044400232996532e-01
1.262655359999999973e+02,0.000000000000000000e+00,7.807479547232142325e-01,2.192526618971179786e-01
1.267493120000000033e+02,0.000000000000000000e+00,7.846383438100914542e-01,2.153623055170234002e-01
1.272330879999999951e+02,0.000000000000000000e+00,7.872561331697944809e-01,2.127445178571651108e-01
1.277168640000000011e+02,0.000000000000000000e+00,7.894366064766309421e-01,2.105639638737686059e-01
1.282006399999999928e+02,0.000000000000000000e+00,7.915504746185044738e-01,2.084501066760054144e-01
1.286844159999999988e+02,0.000000000000000000e+00,7.921339825003317348e-01,2.078666536444684354e-01
1.291681920000000048e+02,0.000000000000000000e+00,7.907745842406804782e-01,2.092261012567040168e-01
1.296519680000000108e+02,0.000000000000000000e+00,7.884810561361141890e-01,2.115196644883439170e-01
1.301357439999999883e+02,0.000000000000000000e+00,7.863905225365347418e-01,2.136102275166506526e-01
1.306195199999999943e+02,0.000000000000000000e+00,7.829629077050038743e-01,2.170379342155095981e-01
1.311032960000000003e+02,0.000000000000000000e+00,7.811484428735703256e-01,2.188524363158575181e-01
1.315870720000000063e+02,0.000000000000000000e+00,7.802349066178080328e-01,2.197660479606804440e-01
1.320708480000000122e+02,0.000000000000000000e+00,7.842150188069374472e-01,2.157859634259106374e-01
1.325546239999999898e+02,0.000000000000000000e+00,7.862327832534299343e-01,2.137681188069789073e-01
1.330383999999999958e+02,0.000000000000000000e+00,7.851084744713978658e-01,2.148924808099674510e-01
1.335221760000000017e+02,0.000000000000000000e+00,7.843142259766429092e-01,2.156867117959450908e-01
1.340059520000000077e+02,0.000000000000000000e+00,7.846728649873225825e-01,2.153281214478859895e-01
1.344897279999999853e+02,0.000000000000000000e+00,7.857222774385040909e-01,2.142787696374779116e-01
1.349735039999999913e+02,0.000000000000000000e+00,7.852925617034078876e-01,2.147084800420361317e-01
1.354572799999999972e+02,0.000000000000000000e+00,7.867749262925498588e-01,2.132261237540861443e-01
1.359410560000000032e+02,0.000000000000000000e+00,7.897630585333045294e-01,2.102380383573740907e-01
1.364248320000000092e+02,0.000000000000000000e+00,7.907590306708164318e-01,2.092421298262821250e-01
1.369086079999999868e+02,0.000000000000000000e+00,7.905606062799900302e-01,2.094404599338363371e-01
1.373923839999999927e+02,0.000000000000000000e+00,7.908441484377841668e-01,2.091570007899635486e-01
1.378761599999999987e+02,0.000000000000000000e+00,7.912968318773482279e-01,2.087043619756300261e-01
